asset_code,asset_name,asset_type
AAVE,Aave,Cryptocurrency
ADA,Cardano,Cryptocurrency
ALGO,Algorand,Cryptocurrency
ANKR,Ankr,Cryptocurrency
ANT,Aragon,Cryptocurrency
ATOM,Cosmos,Cryptocurrency
AXS,Axie Infinity,Cryptocurrency
BADGER,Badger DAO,Cryptocurrency
BAL,Balancer,Cryptocurrency
BAT,Basic Attention Token,Cryptocurrency
BCH,Bitcoin Cash,Cryptocurrency
BNT,Bancor,Cryptocurrency
BSV,Bitcoin SV,Cryptocurrency
CHZ,Chiliz,Cryptocurrency
COMP,Compound,Cryptocurrency
CQT,Covalent,Cryptocurrency
CRV,Curve,Cryptocurrency
CTSI,Cartesi,Cryptocurrency
DAI,Dai,Cryptocurrency
DASH,DASH,Cryptocurrency
DOT,Polkadot,Cryptocurrency
ENJ,Enjin Coin,Cryptocurrency
EOS,EOS,Cryptocurrency
EWT,Energy Web Token,Cryptocurrency
ETH2,ETH2,Cryptocurrency
FIL,Filecoin,Cryptocurrency
FLOW,Flow,Cryptocurrency
GHST,Aavegotchi,Cryptocurrency
GNO,Gnosis,Cryptocurrency
GRT,The Graph,Cryptocurrency
ICX,ICON,Cryptocurrency
KAR,Karura,Cryptocurrency
KAVA,Kava,Cryptocurrency
KEEP,Keep Network,Cryptocurrency
KNC,Kyber Network,Cryptocurrency
KSM,Kusama,Cryptocurrency
LINK,Chainlink,Cryptocurrency
LPT,Livepeer,Cryptocurrency
LRC,Loopring,Cryptocurrency
LSK,Lisk,Cryptocurrency
MANA,Decentraland,Cryptocurrency
MATIC,Polygon,Cryptocurrency
MINA,Mina,Cryptocurrency
MKR,Maker,Cryptocurrency
NANO,Nano,Cryptocurrency
OCEAN,Ocean,Cryptocurrency
OGN,Origin Protocol,Cryptocurrency
OMG,OmiseGO,Cryptocurrency
OXT,Orchid,Cryptocurrency
PAXG,PAX Gold,Cryptocurrency
PERP,Perpetual Protocol,Cryptocurrency
QTUM,QTUM,Cryptocurrency
RARI,Rarible,Cryptocurrency
REN,REN Protocol,Cryptocurrency
SAND,The Sandbox,Cryptocurrency
SC,Siacoin,Cryptocurrency
SNX,Synthetix,Cryptocurrency
SOL,Solana,Cryptocurrency
SRM,Serum,Cryptocurrency
STORJ,Storj,Cryptocurrency
SUSHI,Sushi,Cryptocurrency
TBTC,tBTC,Cryptocurrency
TRX,Tron,Cryptocurrency
UNI,Uniswap,Cryptocurrency
USDT,Tether,Cryptocurrency
USDC,USD Coin,Cryptocurrency
WAVE,Waves,Cryptocurrency
WBTC,Wrapped Bitcoin,Cryptocurrency
XDAO,DAO,Cryptocurrency
XETC,Ethereum Classic,Cryptocurrency
XETH,Ethereum,Cryptocurrency
XICN,Iconomi,Cryptocurrency
XLTC,Litecoin,Cryptocurrency
XMLN,Enzyme Finance,Cryptocurrency
XNMC,Namecoin,Cryptocurrency
XREP,Augur,Cryptocurrency
XREPV2,Augur v2,Cryptocurrency
XXBT,Bitcoin,Cryptocurrency
XXDG,Dogecoin,Cryptocurrency
XXLM,Stellar Lumens,Cryptocurrency
XXMR,Monero,Cryptocurrency
XXRP,Ripple,Cryptocurrency
XXTZ,Tezos,Cryptocurrency
XXVN,Ven,Cryptocurrency
XZEC,Zcash,Cryptocurrency
YFI,Yearn Finance,Cryptocurrency
ZRX,0x,Cryptocurrency
ZAUD,Australian Dollar,Cash
ZCAD,Canadian Dollar,Cash
ZCHF,Swiss Franc,Cash
ZEUR,Euro,Cash
ZGBP,Great British Pound,Cash
ZJPY,Japanese Yen,Cash
ZKRW,South Korean Won,Cash
ZUSD,US Dollar,Cash
